Metric,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
vector sum x,6966.010000026199,-2857444.5100000137,-5166723.450000007,-6869724.890000016,-8355427.069999975,-9303953.88999999,-9428922.649999987,-8502175.979999986,-6654627.329999964,-4048084.490000018,-651863.4499999956,3097495.400000014,6111186.349999998,8233303.590000004,10290462.43999999,-66034.30999997677,-165421.57999996128,-83528.95999996891,-172684.29999994623,126539.2100000116,28215.919999992588,-300506.0799999808,-144960.23999999798,90644.75000000284,-16223.849999999456,328458.79999998776,86186.64999999845,-63484.320000003376,-345556.29999999906
vector sum y,-12411.909999979289,-1090238.3799999782,-2336205.379999988,-4025699.339999991,-5948600.430000025,-7891203.750000003,-11206798.240000002,-14223694.400000012,-16385220.200000009,-18383742.479999997,-19763100.260000017,-19216644.13000004,-17679517.019999985,-15667854.010000013,-10035522.469999986,-153091.48000000347,184291.9300000108,-138623.7799999861,-31742.06999999816,-211678.02999996327,96152.46000000516,-9244.31000001276,183596.2400000085,-340715.96999997017,481641.7099999714,-239707.56000001237,-125078.17000000068,31382.089999998243,-154714.5900000042
vector sum z,-559153.6999999979,210325.90999999992,443309.5199999987,1152899.3700000024,1096581.8,-435975.8999999994,-416947.46999999735,-908969.5400000028,-1574566.359999996,-1468591.1199999924,-604340.7000000019,-109274.67000000452,371316.50999999954,885957.6499999984,-300663.16000000096,-469585.6399999964,-521072.0399999971,-625828.8699999977,-279875.1699999992,-461099.869999997,-102436.76999999429,-469034.0,-231500.9999999992,-441044.08000000106,203934.6299999997,-98265.41999999918,-134934.24000000115,64829.29999999989,-227292.66999999984
vector sum norm,559334.820146981,3065590.618685333,5687654.184006223,8045405.657747066,10315110.287436392,12207568.537454167,14651646.812713215,16595984.586764602,17754964.520542257,18881359.47136429,19783080.789551843,19464989.861944184,18709617.75706532,17721564.77970763,14376916.4569704,498305.3327428583,576926.2391871001,646417.3683199075,330389.97753697773,522908.070473297,143299.42621493744,557119.6052378082,329110.56428500946,564644.7763139503,523288.910100105,418331.197003484,203174.64500559412,96010.0650823694,441596.7828962158
total N,9389.0,8989.0,8589.0,8189.0,7789.0,7389.0,6889.0,6389.0,5889.0,5389.0,4889.0,4389.0,3889.0,3389.0,2389.0,8989.0,8589.0,8189.0,7789.0,7389.0,6889.0,6389.0,5889.0,5389.0,4889.0,4389.0,3889.0,3389.0,2389.0
mean,355.5906432748538,339.9502923976608,323.8304093567252,309.32163742690057,294.34795321637426,280.2573099415205,261.3099415204678,243.0,225.0906432748538,205.35087719298247,185.67251461988303,165.7280701754386,146.28070175438597,128.0701754385965,91.3625730994152,340.4327485380117,325.46198830409355,310.1169590643275,295.1140350877193,279.9239766081872,261.3859649122807,241.953216374269,222.93567251461988,203.95029239766083,184.73976608187132,166.24561403508773,147.61988304093566,128.5,90.1140350877193
median,356.5,354.0,353.0,353.0,352.0,351.0,348.5,344.0,323.0,264.5,199.5,132.5,73.0,27.0,0.0,341.0,327.0,311.0,295.0,280.0,262.0,242.0,223.0,204.0,185.0,167.0,148.0,129.0,89.0
variance,81.52833350432611,2049.105716288773,4994.105741937689,8395.036900242809,12148.14501043056,15103.787592763583,18550.038439177868,21277.91228070176,22598.36897677918,24053.28624192059,25374.594507711776,24724.30324715297,23975.30132348415,22554.85472453063,17962.04397934407,88.55541876132827,96.00878902910296,115.96292876440614,114.42266851338871,102.50299237372182,146.0030778701139,98.11477035669095,92.08942922608664,90.59694435894804,97.7129800622414,99.99815327793168,90.08358127287028,80.13888888888889,81.36418898122498
stdev,9.029304153938227,45.26704890191952,70.6689871296999,91.624433969563,110.21862370049156,122.89746780452226,136.1985258333506,145.8695042862001,150.32753898331197,155.09121909998834,159.29405044668735,157.2396363743982,154.83959869324173,150.18273777145836,134.02255026428975,9.410388874075728,9.798407474130832,10.768608487841227,10.696853206125096,10.124376147384185,12.083173336094864,9.905290018807674,9.596323734956352,9.51824271380742,9.8849876106266,9.999907663470282,9.491237078108956,8.952032667997189,9.02021002977342
normalized stdev,0.0253924121028095,0.133157846644732,0.2182283846352809,0.2962108785267756,0.3744501108165348,0.4385165469195665,0.5212144820853764,0.6002860258691363,0.6678533447512074,0.7552498495257868,0.8579301614608988,0.9487809530874608,1.0585100894117028,1.17265973328399,1.4669305572037092,0.0276424313303835,0.0301061501073844,0.034724345680197,0.0362465079064964,0.0361683063739673,0.0462273226496682,0.0409388648237084,0.0430452588709285,0.0466694242107229,0.0535076330357907,0.0601514074311741,0.0642951131147895,0.0696656238754645,0.1000977264084658
skewness,-1.7737859588898297,-3.331685257698544,-2.3045812591127017,-1.90586572445965,-1.6109126980585429,-1.3208930453554095,-1.0067140937435948,-0.7532437017683875,-0.5374410553834832,-0.2942782226439112,-0.0731304067249079,0.1540007123691656,0.3733953942049882,0.5827175841015326,1.0860140512364886,-1.7305327282909484,-1.2644854969879524,-0.82168124381288,-0.4710015140952949,-0.7186361787186741,-0.2642694191544817,-0.2973105842386205,-0.1354058315312401,-0.3005700008883393,-0.4371309104928804,-0.0818227403234481,-0.0069375492244783,-0.2827071466346835,0.3084799464146846
kurtosis,6.537268304462756,11.735917885960337,4.474559059632778,2.3848403966065748,1.1378495992091366,0.1509433474280825,-0.6848506376572252,-1.187040107744121,-1.477285916915204,-1.7027314773381568,-1.811479932509786,-1.778505452339736,-1.6575274353747698,-1.4355552656611237,-0.5089264084003347,6.87824259378767,3.476162020860521,1.6583557993416491,0.4570527006769782,1.896484306559592,0.2783612436094365,0.432789366291026,-0.3658009228763532,0.7899652388532763,0.8337454010471004,-0.1476350844448801,0.2087358172651581,0.3328794332788831,0.0215657568870901
bowley skewness,0.0,-0.2,-0.3636363636363636,-0.68,-0.7862595419847328,-0.872255489021956,-0.9047619047619048,-0.902712815715622,-0.7948717948717948,-0.4813753581661891,-0.1271186440677966,0.245014245014245,0.5755813953488372,0.8225143796220213,1.0,0.0909090909090909,-0.1666666666666666,0.0,0.1428571428571428,0.0769230769230769,-0.0666666666666666,0.0588235294117647,0.0,0.0,0.0769230769230769,-0.1428571428571428,0.0,0.0212765957446808,0.1666666666666666
moors kurtosis,2.1818181818181817,3.466666666666667,5.840909090909091,4.365714285714286,3.896946564885496,2.4850299401197606,1.9843358395989972,1.7315247895229189,1.676282051282051,1.6536532951289398,1.8414548022598871,1.7517806267806268,1.6573401162790695,1.6631059983566143,2.065642458100559,2.1818181818181817,2.09375,2.0357142857142856,2.142857142857143,2.0288461538461537,2.2666666666666666,2.284313725490196,2.142857142857143,2.25,2.076923076923077,2.071428571428572,2.1979166666666665,2.24468085106383,2.333333333333333
